order,startLat,startLng,endLat,endLng,arcAlt,color
1,25.7617,-80.1918,-23.5505,-46.6333,0.29,colors[Math.floor(Math.random() * (colors.length - 1))]
1,36.1699,-115.1398,25.4704,51.5131,0.22,colors[Math.floor(Math.random() * (colors.length - 1))]
1,12.971599,77.594566,50.4372,5.9714,0.13,colors[Math.floor(Math.random() * (colors.length - 1))]
2,44.3558,11.7156,1.3521,103.8198,0.23,colors[Math.floor(Math.random() * (colors.length - 1))]
2,30.2672,-97.7431,43.7384,7.4246,0.26,colors[Math.floor(Math.random() * (colors.length - 1))]
2,26.0325,50.5106,47.2197,14.7647,0.26,colors[Math.floor(Math.random() * (colors.length - 1))]
3,17.385044,78.486671,19.4326,-99.1332,0.22,colors[Math.floor(Math.random() * (colors.length - 1))]
3,-37.8136,144.9631,34.8431,136.5416,0.16,colors[Math.floor(Math.random() * (colors.length - 1))]
3,45.6196,9.2811,47.4979,19.0402,0.3,colors[Math.floor(Math.random() * (colors.length - 1))]
4,41.3851,2.1734,52.0786,-1.0169,0.19,colors[Math.floor(Math.random() * (colors.length - 1))]
4,21.4858,39.1925,31.2304,121.4737,0.23,colors[Math.floor(Math.random() * (colors.length - 1))]
4,40.4093,49.8671,52.3883,4.5401,0.12,colors[Math.floor(Math.random() * (colors.length - 1))]
5,24.4539,54.3773,45.5017,-73.5673,0.19,colors[Math.floor(Math.random() * (colors.length - 1))]
